Year,1,2,3,4,5,6,total,,,,,
2022,5601,27774,37783,24999,43125,8341,151623,,,,,
2021,5886,28377,38488,25154,42944,8910,152955,,,,,
2020,5886,28678,39162,25782,43102,9475,154078,,,,,
2019,6205,29032,39316,26215,42914,9437,154839,,,,,
2018,6628,29795,38588,27012,42509,9679,155719,,,,,
2017,6967,30087,38662,28373,42647,9379,158957,,,,,
2016,7296,31345,38541,28528,42440,9369,160073,,,,,
2015,7807,31622,37875,28848,42748,8798,161385,,,,,
2014,8094,31677,39354,28435,43016,9569,163355,,,,,
2013,8423,33068,40681,27814,43427,9213,165903,,,,,
2012,8728,34352,42678,26412,42919,8967,167719,,,,,
2011,8851,34175,42541,26690,43072,8997,168374,,,,,
2010,8874,33436,42887,27613,43973,9290,170577,,,,,t